Location,Primary energy supply Fossil fuels (% of total) 2012,Primary energy supply Renewable sources (% of total) 2012,Electrification rate Total (% of population) 2012,Electrification rate Rural (% of rural population) 2012,Carbon dioxide emissions per capita (tonnes) 2011,Carbon dioxide emissions per capita Average annual growth (%) 1970/2011,Natural resource depletion (% of GNI) 2008Ð2013,Forest area (% of total land area) 2012,Natural resources (% change) 1990/2012,Fresh water withdrawals (% of total renewable water resources) 2005Ð2014,"Deaths of children under age 5 due to Outdoor air pollution (per 100,000 children under age 5) 2008","Deaths of children under age 5 due to Indoor air pollution (per 100,000 children under age 5) 2004","Deaths of children under age 5 due to Poor water, sanitation or hygiene (per 100,000 children under age 5) 2004",Population living on degraded land (%) 2010,Population affected by Natural disasters (average annual per million people) 2005/2014
Cambodia,26.2,71.1,31.1,18.8,0.3,2.0,2.5,55.7,-24.0,0.5,3,346,595,39.3,"28,828"
Cameroon,26.8,73.2,53.7,18.5,0.3,3.4,5.1,41.2,-19.9,,14,361,497,15.3,607
Canada,73.7,27.9,100.0,100.0,14.1,-0.4,2.4,34.1,0.0,,0,0,0,2.7,364
Central African Republic,,,10.8,8.2,0.1,-1.8,0.2,36.2,-2.8,0.1,10,411,511,,"2,515"
Chad,,,6.4,3.1,0.0,0.9,11.0,9.0,-13.3,1.9,14,488,618,45.4,"43,132"
Chile,75.6,24.2,99.6,97.8,4.6,1.9,8.3,21.9,6.8,3.8,0,0,1,1.1,"24,051"
China,88.3,11.7,100.0,100.0,6.7,6.5,4.2,22.6,35.2,19.5,2,10,55,8.6,"73,314"
Colombia,75.6,24.8,97.0,87.9,1.5,0.5,9.2,54.3,-3.6,0.5,1,6,33,2.0,"18,001"
Comoros,,,69.3,61.4,0.2,1.9,3.5,1.2,-81.7,,2,108,177,,"55,515"
Congo,48.9,51.0,41.6,11.7,0.5,0.7,54.4,65.6,-1.5,,19,149,220,0.1,"1,463"
Congo (Democratic Republic of the),4.2,95.8,16.4,5.8,0.1,-3.0,31.0,67.7,-4.3,0.1,16,644,786,0.1,471
Costa Rica,48.3,51.8,99.5,98.7,1.7,2.9,0.8,51.9,3.4,2.1,0,2,4,1.3,"9,470"
C™te d'Ivoire,21.5,79.0,55.8,29.0,0.3,-1.1,5.4,32.7,1.8,1.8,9,370,561,1.3,104
Croatia,81.6,10.6,100.0,100.0,4.8,,1.6,34.4,4.1,0.6,0,0,0,17.5,277
Cuba,86.7,13.3,100.0,95.4,3.2,1.3,3.6,27.6,44.1,18.3,0,1,1,17.0,"30,624"
Cyprus,94.9,5.1,100.0,100.0,6.7,2.9,0.0,18.8,7.6,17.6,0,0,13,11.4,0
Czech Republic,76.9,26.5,100.0,100.0,10.4,,0.2,34.5,1.3,12.9,0,0,1,4.2,"12,572"
Denmark,70.6,26.8,100.0,100.0,7.2,-1.8,1.5,12.9,23.0,10.8,0,0,1,8.5,0
Developing countries,80.6,19.2,81.2,68.5,3.3,-1.1,6.3,27.2,-7.2,,5,161,287,11.6,
Djibouti,,,53.3,13.0,0.6,-1.4,,0.2,0.0,,31,41,454,7.5,"88,442"
Dominica,,,92.7,79.8,1.7,5.2,0.1,58.8,-11.8,10.0,0,1,0,,"10,905"
Dominican Republic,89.3,10.7,98.0,96.7,2.2,3.8,0.2,40.8,0.0,30.4,2,12,73,7.0,"4,057"
East Asia and the Pacific,,,95.7,92.5,5.3,1.5,4.4,29.7,2.8,,2,29,93,,
Ecuador,86.3,12.9,97.2,92.3,2.3,3.9,8.6,38.1,-23.6,2.2,1,2,63,1.6,"6,002"
Egypt,96.5,3.7,100.0,100.0,2.8,5.1,8.1,0.1,61.8,,2,2,86,25.3,5
El Salvador,47.9,51.9,93.7,85.7,1.1,3.4,1.7,13.4,-26.2,8.1,1,24,82,6.3,"9,378"
Equatorial Guinea,,,66.0,43.0,9.3,14.9,67.6,57.1,-13.8,,10,0,505,,0
Eritrea,21.7,78.3,36.1,12.0,0.1,,17.3,15.1,-6.0,,3,237,379,58.8,"29,975"
Estonia,88.1,14.6,100.0,100.0,14.0,,1.1,51.8,5.1,14.0,0,0,0,5.0,8
Ethiopia,5.7,94.3,26.6,7.6,0.1,1.2,14.0,12.0,-21.0,,2,538,705,72.3,"25,871"
Europe and Central Asia,88.8,10.5,100.0,100.0,5.5,,6.2,9.1,8.2,33.5,2,63,169,10.7,
Fiji,,,59.3,45.5,1.4,1.1,1.7,55.9,7.1,,1,18,11,,"9,681"
Finland,43.0,47.5,100.0,100.0,10.2,0.5,0.2,72.9,1.5,1.5,0,0,0,0.0,7
France,49.1,52.4,100.0,100.0,5.2,-1.6,0.0,29.3,10.4,14.8,0,0,,3.9,819,
Gabon,38.9,61.1,89.3,44.9,1.4,-2.9,29.1,85.4,0.0,0.1,9,33,102,,"6,531",
Gambia,,,34.5,25.7,0.2,2.7,6.8,47.8,9.4,,7,197,286,17.9,"29,355",
Georgia,72.8,28.3,100.0,100.0,1.8,,0.7,39.4,-1.5,2.9,2,70,169,1.9,"3,301",
Germany,80.2,20.4,100.0,100.0,8.9,,0.1,31.8,3.3,21.0,0,0,0,8.1,10,
Ghana,37.4,63.1,64.1,41.0,0.4,0.9,12.6,20.7,-36.8,,3,152,226,1.4,"3,055",
Greece,90.6,8.8,100.0,100.0,7.6,3.3,0.1,30.7,20.1,13.8,0,0,,1.1,827,
Grenada,,,90.9,79.8,2.4,5.4,,50.0,0.0,7.1,0,12,5,,"1,578",
Guatemala,33.5,66.2,78.5,72.1,0.8,1.9,3.6,33.1,-25.3,2.6,2,57,126,9.1,"50,204",
Guinea,,,26.2,2.9,0.2,0.7,21.6,26.3,-10.9,,11,324,480,0.8,"1,473",
Guinea-Bissau,,,60.6,21.5,0.2,1.3,15.0,71.2,-9.7,,12,648,873,1.0,"8,168",
Guyana,,,79.5,75.1,2.3,0.1,8.8,77.2,0.0,0.5,0,38,132,,"52,340",
Haiti,22.0,78.0,37.9,15.0,0.2,3.3,1.9,3.6,-14.3,10.3,5,297,428,15.2,"53,388",
High human development,87.2,12.8,99.6,98.9,6.1,0.3,6.1,35.8,-1.1,4.8,2,10,60,8.9,,
Honduras,51.6,48.8,82.2,65.8,1.1,2.4,2.8,44.3,-39.1,,1,49,106,15.0,"23,856",
"Hong Kong, China (SAR)",94.8,0.4,100.0,100.0,5.7,3.2,,,,,,,,,221,
Human development groups,,,,,,,,,,,,,,,
Hungary,71.1,26.0,100.0,100.0,4.9,-1.1,0.4,22.6,12.9,5.4,0,0,0,17.1,"1,055"
Iceland,15.3,84.7,100.0,100.0,5.9,-0.5,0.0,0.3,264.4,0.1,0,0,0,,0
India,72.3,27.6,78.7,69.7,1.7,5.2,3.6,23.1,7.5,33.9,5,131,316,9.6,"11,986"
Indonesia,66.4,33.6,96.0,92.9,2.3,6.7,4.8,51.4,-21.5,,2,41,130,3.1,"4,292"
Iran (Islamic Republic of),99.5,0.7,100.0,97.3,7.8,2.9,17.6,6.8,0.0,,6,3,,25.1,"1,467"
Iraq,97.5,1.0,100.0,96.9,4.2,1.8,19.5,1.9,3.3,,12,12,383,4.5,231
Ireland,84.7,6.4,100.0,100.0,7.9,0.6,0.1,11.0,62.7,,0,0,,0.5,14
Israel,96.7,4.8,100.0,100.0,9.0,1.5,0.2,7.1,16.4,,0,0,,12.9,"27,775"
Italy,83.7,13.9,100.0,100.0,6.7,0.6,0.1,31.6,22.6,,0,0,,2.2,153
Jamaica,82.1,17.9,92.6,86.7,2.9,0.2,0.8,31.0,-2.4,7.5,1,15,47,3.3,"13,248"
Japan,94.8,5.2,100.0,100.0,9.3,0.8,0.0,68.6,0.2,,0,0,0,0.3,921
Jordan,96.0,2.0,99.5,99.4,3.6,4.1,0.9,1.1,-0.6,92.4,3,0,59,22.0,0
Kazakhstan,98.9,1.0,100.0,100.0,15.8,,17.2,1.2,-3.6,18.4,5,3,249,23.5,634
Kenya,19.7,80.3,23.0,6.7,0.3,0.5,3.3,6.1,-7.1,,4,217,362,31.0,"46,271"
Kiribati,,,59.3,45.5,0.6,0.7,0.1,15.0,0.0,,0,0,206,,314
Korea (Democratic People's Rep. of),88.4,11.6,29.6,12.8,3.0,,,45.0,-34.0,11.2,3,0,245,2.9,"22,195",
Korea (Republic of),82.8,17.2,100.0,100.0,11.8,6.5,0.0,63.8,-3.4,,0,0,,2.9,206,
Kuwait,100.0,0.0,97.7,92.9,29.1,-0.4,25.1,0.4,86.6,,1,0,,0.6,0,
Kyrgyzstan,68.4,39.4,100.0,100.0,1.2,,7.9,5.1,18.1,32.6,1,115,245,9.7,"38,560",
Lao People's Democratic Republic,,,70.0,54.8,0.2,-0.5,8.3,67.6,-9.9,1.1,1,157,242,4.1,"22,280",
Latin America and the Caribbean,74.2,25.8,96.4,87.0,2.9,0.6,5.5,46.8,-9.6,1.7,1,22,79,5.3,,
Latvia,63.7,33.8,100.0,100.0,3.8,,1.0,54.3,6.4,,0,0,0,1.8,0,
Least developed countries,,,34.2,20.2,0.3,-0.1,9.6,28.7,-12.4,,7,440,599,23.5,,
Lebanon,95.5,3.3,100.0,100.0,4.7,3.3,0.0,13.4,4.6,24.3,1,0,40,1.2,0,
Lesotho,,,20.6,10.2,1.1,,4.5,1.5,11.0,,2,19,44,63.6,"60,491",
Liberia,,,9.8,1.2,0.2,-4.9,36.4,44.3,-13.4,,6,676,885,,"14,150",
Libya,98.7,1.3,100.0,100.0,6.4,-2.8,23.5,0.1,0.0,,3,2,,8.5,34,
Liechtenstein,,,100.0,100.0,1.4,,,43.1,6.2,,,,,,,
Lithuania,74.0,14.5,100.0,100.0,4.5,,0.4,34.7,11.9,9.5,0,0,,4.8,0,
Low human development,,,43.6,27.7,0.4,-0.2,7.8,26.2,-14.4,,10,405,552,20.2,,
Luxembourg,87.4,4.0,100.0,100.0,20.9,-2.1,0.0,33.5,,,0,0,2,,0,
Madagascar,,,15.4,8.1,0.1,-0.9,3.7,21.4,-9.2,,2,390,540,0.0,"22,638",
Malawi,,,9.8,2.0,0.1,-0.8,12.5,33.6,-18.6,7.9,3,498,617,19.4,"54,758",
Malaysia,94.5,5.5,100.0,100.0,7.8,5.9,8.1,61.7,-9.4,1.9,0,0,33,1.2,"10,160",
Maldives,,,100.0,100.0,3.3,,0.0,3.0,0.0,15.7,1,41,167,,908,
Mali,,,25.6,11.9,0.1,2.9,8.1,10.1,-12.4,4.3,9,703,880,59.5,"38,351",
Malta,94.5,5.5,100.0,100.0,6.0,3.3,,0.9,0.0,,0,0,,,,
Marshall Islands,,,59.3,45.5,2.0,,,70.2,,,,45,201,,"14,022",
Mauritania,,,21.8,4.4,0.6,1.7,32.6,0.2,-44.1,11.8,16,220,390,23.8,"45,968",
Mauritius,,,100.0,100.0,3.1,5.4,0.0,17.3,-9.7,,0,0,7,,214,
Medium human development,74.5,25.3,81.9,72.8,1.9,0.9,5.3,29.5,-8.9,,4,106,260,10.2,,
Mexico,90.1,9.9,99.1,97.2,3.9,1.9,6.4,33.2,-8.3,17.2,1,8,23,3.8,"9,882",
Micronesia (Federated States of),,,59.3,45.5,1.2,,0.1,91.7,,,0,30,83,,0,
Moldova (Republic of),94.9,3.4,100.0,100.0,1.4,,0.2,12.0,23.9,9.1,1,13,15,21.8,"6,840",
Monaco,,,100.0,100.0,,,,0.0,,,0,0,2,,,
Mongolia,95.4,4.1,89.8,69.9,6.9,3.7,19.8,6.9,-14.4,1.6,19,78,195,31.5,"29,190",
Montenegro,60.2,28.4,100.0,100.0,4.1,,,40.4,0.0,,,,,8.0,"2,000",
Morocco,93.6,4.1,100.0,100.0,1.8,4.4,1.5,11.5,2.0,35.7,6,8,114,39.1,737
Mozambique,9.5,93.3,20.2,5.4,0.1,-2.7,4.0,49.1,-11.0,,11,270,388,1.9,"18,424"
Myanmar,21.3,78.7,52.4,31.2,0.2,0.5,,47.7,-20.5,,3,181,378,19.2,"6,406"
Namibia,66.0,21.0,47.3,17.4,1.3,,1.0,8.7,-18.5,,1,11,21,28.5,"63,965"
Nauru,,,,,,,,,,,0,1,,,
Nepal,12.5,86.9,76.3,71.6,0.2,7.0,4.2,25.4,-24.7,4.5,1,139,337,2.3,"8,366"
Netherlands,91.4,6.7,100.0,100.0,10.1,-0.3,0.9,10.8,5.9,11.7,0,0,0,5.4,0
New Zealand,61.4,38.4,100.0,100.0,7.1,1.1,1.6,31.3,6.9,,0,0,,5.3,"14,226"
Nicaragua,49.8,50.3,77.9,42.7,0.8,1.1,4.7,24.7,-34.1,0.9,1,49,102,13.9,"10,726"
Niger,,,14.4,5.2,0.1,1.8,16.1,0.9,-39.4,2.9,6,"1,023","1,229",25.0,"97,330"
Nigeria,17.4,82.6,55.6,34.4,0.5,1.1,8.1,9.0,-52.3,4.6,14,370,559,11.5,"5,667"
Norway,57.3,47.8,100.0,100.0,9.2,0.8,9.0,28.0,11.9,0.8,0,0,0,0.2,12
Oman,100.0,0.0,97.7,92.9,21.4,14.5,25.7,0.0,0.0,,1,0,,5.8,682
Organisation for Economic Co-operation and Development,81.2,18.7,99.9,99.7,9.9,-0.5,1.0,30.5,1.2,,0,2,14,3.4,
Pakistan,60.9,39.1,93.6,90.5,0.9,2.7,3.1,2.1,-36.6,74.4,22,132,205,4.5,"29,014"
Palau,,,59.3,45.5,10.9,-0.3,,87.6,,,0,0,40,,0
"Palestine, State of",,,97.7,92.9,0.6,,,1.5,1.0,48.8,,,,,"1,624"
Panama,79.7,20.2,90.9,79.8,2.6,1.9,0.2,43.4,-14.9,0.7,0,16,55,4.1,"2,457"
Papua New Guinea,,,18.1,10.4,0.7,3.2,18.7,62.8,-9.8,0.1,1,108,288,,"7,920"
Paraguay,33.8,145.2,98.2,96.3,0.8,3.2,4.6,43.4,-18.6,0.6,1,21,56,1.3,"39,146"
Peru,76.0,24.0,91.2,72.9,1.8,0.9,5.7,52.9,-3.5,0.7,2,21,69,0.7,"13,408"
Philippines,59.7,40.3,87.5,81.5,0.9,0.7,2.2,26.1,18.3,17.0,1,37,96,2.2,"105,941"
Poland,90.7,9.6,100.0,100.0,8.3,-0.4,1.0,30.7,5.8,19.4,0,0,,13.2,279
Portugal,74.9,22.0,100.0,100.0,4.7,3.2,0.1,37.8,4.0,,0,0,,2.3,48
Qatar,100.0,0.0,97.7,92.9,43.9,-1.5,17.4,0.0,,374.1,1,0,6,0.1,
Regions,,,,,,,,,,,,,,,
Romania,77.7,22.8,100.0,100.0,4.2,-1.1,1.5,28.9,4.0,3.3,1,6,,13.5,562
Russian Federation,91.0,9.2,100.0,100.0,12.6,,11.8,49.4,0.1,,0,0,5,3.1,161
Rwanda,,,18.0,7.7,0.1,4.4,6.1,18.4,43.1,,2,803,970,10.1,369
Saint Kitts and Nevis,,,90.9,79.8,5.1,7.3,,42.3,0.0,51.3,0,0,28,,0
Saint Lucia,,,90.9,79.8,2.3,4.2,0.1,77.0,7.3,14.3,0,3,2,,"115,690"
Saint Vincent and the Grenadines,,,75.9,31.8,2.2,6.3,0.1,68.9,6.2,7.9,0,2,,,"22,280"
Samoa,,,100.0,92.8,1.3,6.0,0.8,60.4,31.5,,0,26,63,,"9,854"
San Marino,,,100.0,100.0,,,,0.0,,,0,0,,,
Sao Tome and Principe,,,60.5,47.0,0.6,3.4,2.3,28.1,0.0,,9,225,428,,0
Saudi Arabia,100.0,0.0,97.7,92.9,18.7,2.9,20.6,0.5,0.0,943.3,2,0,,4.3,41
Senegal,53.2,46.4,56.5,26.6,0.6,2.1,1.5,43.6,-10.2,,14,292,530,16.2,"12,059"
Serbia,89.1,11.1,100.0,100.0,6.8,,,32.1,21.4,2.5,,,,18.5,"18,081"
Seychelles,,,100.0,17.3,6.8,8.5,0.1,88.5,0.0,,0,0,,,"14,228"
Sierra Leone,,,14.2,1.2,0.2,-2.6,8.0,37.2,-13.8,0.1,11,"1,207","1,473",,"1,028"
Singapore,97.2,2.8,100.0,99.0,4.3,-2.3,,3.3,-4.3,,0,0,0,,0
Slovakia,67.5,32.3,100.0,100.0,6.4,,0.5,40.2,0.6,1.4,0,0,0,9.1,19
Slovenia,66.6,34.5,100.0,100.0,7.5,,0.3,62.4,5.8,3.0,0,0,,8.4,"3,114"
Small island developing states,,,70.5,48.0,2.6,0.3,5.6,62.9,-3.8,,2,121,216,,
Solomon Islands,,,22.8,12.6,0.4,1.2,31.3,78.7,-5.3,,0,54,84,,"19,098"
Somalia,,,32.7,17.3,0.1,-0.2,,10.5,-20.4,,19,710,885,26.3,"120,989"
South Africa,87.2,12.9,85.4,66.9,9.3,1.0,4.8,7.6,0.0,,2,23,104,17.5,860
South Asia,76.3,23.7,78.9,69.9,1.7,3.1,5.2,14.6,3.4,25.2,7,156,333,10.0,
South Sudan,,,5.1,3.5,,,,,,1.3,,,,,"7,598"
Spain,75.9,24.9,100.0,100.0,5.8,1.7,0.0,37.1,34.2,28.6,0,0,0,1.4,51
Sri Lanka,48.7,51.3,88.7,86.0,0.7,3.1,0.4,29.2,-22.1,24.5,0,8,42,21.1,"46,648"
Sub-Saharan Africa,,,35.4,14.9,0.8,-0.1,10.0,28.2,-11.3,,8,428,578,22.3,
Sudan,29.5,70.5,32.6,17.8,0.4,0.0,4.8,23.2,-27.9,71.2,11,181,255,39.9,"27,986"
Suriname,,,100.0,100.0,3.6,-0.6,20.5,94.6,-0.2,0.6,0,0,43,,"6,040"
Swaziland,,,42.0,24.5,0.9,0.2,1.8,33.2,21.1,,2,148,252,,"35,652"
Sweden,31.7,70.5,100.0,100.0,5.5,-2.3,0.3,69.2,4.1,1.5,0,0,0,0.3,0
Switzerland,51.1,49.7,100.0,100.0,4.6,-1.1,0.0,31.6,8.6,,0,0,0,0.5,73
Syrian Arab Republic,98.7,1.4,96.3,81.1,2.6,3.0,,2.7,35.3,84.2,2,12,54,33.3,"6,280"
Tajikistan,42.9,57.5,100.0,100.0,0.4,,1.3,2.9,0.5,51.1,1,343,551,10.5,"38,572"
Tanzania (United Republic of),10.7,89.3,15.3,3.6,0.2,0.6,3.2,36.8,-21.4,,4,239,322,25.0,"11,026"
Thailand,80.4,18.9,100.0,99.8,4.6,8.0,4.7,37.2,-2.8,13.1,0,21,59,17.0,"70,701"
The former Yugoslav Republic of Macedonia,82.1,10.4,100.0,100.0,4.4,,2.7,39.9,11.4,16.1,0,1,,7.1,"48,256"
Timor-Leste,,,41.6,26.8,0.2,,,48.4,-25.5,,0,0,149,,951
Togo,15.2,82.4,31.5,8.9,0.3,3.0,9.2,4.9,-61.0,,5,302,419,5.1,"4,818"
Tonga,,,95.9,82.8,1.0,3.9,0.1,12.5,0.0,,0,16,55,,"4,364",
Trinidad and Tobago,99.9,0.1,99.8,99.0,37.2,4.5,29.3,43.9,-6.5,8.8,0,1,5,,0,
Tunisia,85.3,14.8,100.0,100.0,2.4,3.9,4.6,6.7,61.6,69.7,1,3,64,36.7,62,
Turkey,89.5,10.3,100.0,100.0,4.4,4.2,0.3,15.0,19.5,,2,11,85,5.5,217,
Turkmenistan,,0.0,100.0,100.0,12.2,,37.0,8.8,0.0,,2,2,449,11.1,0,
Tuvalu,,,44.6,31.8,,,,33.3,0.0,,0,18,148,,0,
Uganda,,,18.2,8.1,0.1,-1.1,13.2,14.1,-40.8,1.1,2,327,427,23.5,"10,376",
Ukraine,79.6,20.7,100.0,100.0,6.3,,4.6,16.8,5.2,13.8,0,0,3,6.2,944,
United Arab Emirates,,0.1,97.7,92.9,20.0,-3.8,11.7,3.8,30.4,1867.0,1,0,10,1.9,,
United Kingdom,85.1,14.4,100.0,100.0,7.1,-1.6,0.9,12.0,10.9,8.8,0,0,,2.7,665,
United States,83.6,16.3,100.0,100.0,17.0,-0.7,1.0,33.3,3.0,15.5,0,0,0,1.1,"5,074",
Uruguay,57.0,42.1,99.5,95.1,2.3,0.4,1.6,10.5,99.3,,0,0,3,5.7,"3,682",
Uzbekistan,98.2,1.8,100.0,100.0,3.9,,13.8,7.7,7.3,100.6,1,192,325,27.0,6,
Vanuatu,,,27.1,17.8,0.6,0.7,0.0,36.1,0.0,,0,9,41,,"28,826",
Venezuela (Bolivarian Republic of),88.9,11.2,100.0,100.0,6.4,-0.3,10.0,51.8,-12.2,1.7,0,1,30,1.9,545,
Very high human development,81.8,17.9,99.9,99.7,11.1,-1.2,1.9,27.5,1.5,,0,0,,3.2,,
Viet Nam,71.0,28.2,99.0,97.7,2.0,3.6,6.7,45.4,57.9,9.3,1,27,65,8.0,"20,060"
World,81.2,18.6,84.5,70.9,4.6,-0.9,4.0,30.9,-3.7,,5,144,263,10.2,
Yemen,98.5,1.5,48.4,33.5,1.0,2.8,7.5,1.0,0.0,168.6,5,174,377,32.4,360
Zambia,8.8,91.8,22.1,5.8,0.2,-4.4,10.5,66.1,-6.9,,12,378,503,4.6,"26,183"
Zimbabwe,28.3,70.3,40.5,16.1,0.7,-2.4,5.6,38.7,-32.5,,5,168,256,29.4,"46,023"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,

,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,






